YEAR,MONTH,DAY,time(utc),lat,lon,dur_obs(min),pl_obs(km)
1979,4,10,2300,34,-98.5,90,103
1980,6,4,100,41,-98.5,49,23.3
1981,5,23,200,35.5,-98.5,37,27
1989,11,15,2200,34.75,-86.75,20,29.8
1989,11,15,2200,34.75,-86.25,27,37
1992,11,22,600,32,-89.25,60,64
1992,11,22,900,33.25,-89.5,154,179.2
1996,4,20,100,40,-89.25,23,23.2
1997,5,12,1900,25.75,-80.25,15,12.8
1997,5,27,2100,30.75,-97.5,13,8.2
1998,2,23,500,28.5,-81,58,61
1998,3,29,2300,44,-93.75,85,117.6
1999,5,4,200,35.5,-97.5,85,59.2
1999,5,4,300,36,-97.5,80,56.3
2000,3,29,100,32.75,-97.25,10,13
2001,5,30,0,35.25,-100.75,30,16
2001,6,14,0,40.75,-97,27,12.8
2001,9,23,0,40.5,-98,28,16
2002,6,24,0,45.25,-98.25,31,16
2003,5,4,100,33,-99.5,10,6.4
2003,5,4,2200,39,-94.5,48,33.6
2003,5,5,0,37.5,-93,73,79
2003,5,5,200,35,-92.25,42,56.2
2003,5,8,2000,35.5,-97,28,27.2
2003,5,9,0,38,-94.75,32,35
2003,5,10,300,39,-93.5,12,16
2004,5,23,200,40.25,-95.75,100,83.2
2004,5,29,2100,39.75,-98,19,8
2004,7,13,1900,41,-89,25,15.4
2004,11,24,800,32,-89.5,42,45
2005,11,6,600,38,-87.5,45,65.6
2005,11,15,2200,36.5,-87.25,65,70.4
2006,3,12,300,37.75,-90.75,19,18
2006,3,12,2100,38,-94.75,22,26.4
2006,3,12,2100,38.5,-93.75,13,18
2006,3,12,2100,38.5,-93.5,14,21
2006,3,12,2200,38.5,-93.5,27,45
2006,3,13,100,39.25,-90.5,81,107.2
2006,3,13,300,36.25,-94.5,33,46.7
2006,3,13,300,37.25,-93.5,45,67.6
2006,9,22,2100,37.5,-90,23,44
2007,3,28,2200,34.5,-101.25,17,10.9
2007,3,28,2300,34.25,-101,34,28.2
2007,3,29,0,34.5,-101,15,10.2
2007,3,29,0,36.25,-100.25,38,35
2007,3,29,0,37.5,-100.25,49,46.8
2007,3,29,100,35,-100.75,9,6.7
2007,3,29,200,35,-100.5,25,12.5
2007,3,29,200,35.25,-100.5,15,12.9
2007,3,29,300,38.75,-101.75,21,18.7
2007,5,4,2300,36,-99.75,24,6.4
2007,5,5,300,37.25,-99.25,65,53.3
2007,8,27,300,47.5,-97.25,12,9.6
2008,2,5,2300,35.75,-92.25,127,196.1
2008,5,2,1400,35.25,-92.25,59,72.5
2008,5,2,1500,34.5,-92.25,60,65.1
2008,5,22,1900,41,-105.5,42,38.8
2008,5,22,2300,39.5,-100.25,63,55
2008,5,23,2200,39,-100,21,22.5
2008,5,24,200,37.5,-99,49,35
2008,5,29,2300,40.5,-98.75,25,33.4
2008,6,11,2300,42,-96,20,20.8
2009,4,10,200,32.75,-94.75,57,59.5
2009,6,5,2200,41.5,-104,26,13.3
2009,6,18,200,41,-98,18,8.2
2010,4,23,0,35,-100.75,23,16.5
2010,4,23,100,34.25,-100.5,34,19.5
2010,4,24,1600,33.25,-89.5,164,240
2010,5,2,800,35,-89.75,30,47.6
2010,5,10,2100,35.5,-97.5,31,38.4
2010,5,10,2200,35.5,-97.75,51,60
2010,5,31,2300,37,-102.5,16,14.7
2010,6,11,100,39.75,-103.5,1,0.2
2010,12,31,1200,36,-94.75,22,33.8
2011,4,10,300,42.5,-95.75,59,47
2011,4,14,2300,34.5,-96.75,30,27.4
2011,4,15,1700,32.75,-88.75,72,77.6
2011,4,16,2000,36,-79,82,104.3
2011,4,23,100,38.75,-90.75,32,34.1
2011,4,27,100,32.25,-93.5,53,68
2011,4,27,2000,34.75,-87.5,155,212
2011,4,27,2200,33,-88.25,91,130
2011,4,27,2300,33.25,-87,136,205
2011,4,27,2300,33.5,-87.25,107,157
2011,4,28,300,32.75,-86,57,71
2011,5,22,300,38.5,-96,20,16.2
2011,5,24,2300,35.25,-98,55,52.8
2011,5,24,2300,35.5,-97.75,105,101
2011,5,25,2100,37,-90.75,57,75.8
2011,6,1,2100,42.25,-72.25,70,61
2011,11,7,2000,34,-98.75,35,28
2012,1,23,1200,32.75,-86.75,53,64
2012,3,2,2100,38.5,-85.5,49,73.5
2012,3,2,2200,38,-82.75,88,137
2012,4,13,2300,34.5,-99.25,5,9.6
2012,4,14,2300,37.75,-98.25,63,81
2012,4,14,2300,38,-98.5,60,72
2012,12,25,2100,31,-89.25,74,97
2013,2,11,0,31.5,-89,33,34.6
2013,5,16,1800,32.75,-94.75,11,8
2013,5,19,100,38,-99.25,29,11.2
2013,5,20,100,35.25,-96.75,50,37
2013,5,20,2100,31.75,-98.75,14,5.8
2013,5,20,2100,35.25,-97.25,39,22.4
2013,5,27,2300,40,-99,16,9.1
2013,5,29,100,39,-97.5,66,12.8
2013,5,29,400,43,-84,15,15.8
2013,5,30,2000,34,-93.75,19,14.4
2013,6,1,0,35.5,-98,39,25.9
2013,10,4,400,40.5,-97,31,25
2013,10,5,100,42.75,-95.75,42,42.6
2013,11,17,1600,39.25,-89.25,48,74.6
2013,11,17,2000,37,-88.75,51,68.4
2014,4,28,100,34.75,-92.5,56,65.8
2014,4,28,2200,32.25,-90,48,47.8
2014,4,28,2200,33,-89.25,56,53.4
2014,6,16,2000,41.75,-97.5,46,38.5
2014,6,18,500,42.25,-97,47,13
2014,6,18,2200,44.25,-99.25,42,18.4
2015,4,9,2300,42,-88.75,41,48.2
2015,5,6,2200,39.5,-98.25,26,20.3
2015,5,6,2300,40,-97.5,59,57.9
2015,5,7,0,35.5,-97.5,53,16.5
2015,5,10,0,39.5,-100.5,38,30.1
2015,5,25,500,37.25,-100.25,49,23.4
2015,5,27,2300,36,-100.25,14,2.2
2015,6,6,100,39.5,-102.25,15,7.2
2015,6,22,200,45.75,-103,8,8.2
2015,6,23,100,41.75,-89.25,27,25.6
2015,6,27,2200,48.25,-97.5,13,8.5
2015,11,16,2200,37.25,-100.75,24,26.6
2015,11,16,2200,39.25,-100.5,29,29.7
2015,11,16,2300,35.25,-101,13,16.8
2015,11,16,2300,37.25,-100.25,24,24
2015,11,17,100,35.25,-101.25,13,17.6
2015,11,17,100,37,-100.75,78,82.5
2015,11,17,200,36.25,-100,53,69.3
2015,11,17,200,36.75,-99.75,33,43.8
2015,12,23,2000,34.25,-90,63,99
2015,12,23,2000,34.5,-89.75,75,120.2
2015,12,24,100,35.5,-87.5,57,77.4
2015,12,26,2300,32.75,-96.75,16,20.8
2016,4,7,700,31.5,-84.75,25,25.4
2016,4,16,2200,32.5,-100.5,5,2
2016,4,19,2200,30.5,-102.75,10,10.5
2016,4,24,2300,39.75,-96.5,25,19.7
2016,4,28,200,40.25,-86.25,1,0.3
2016,4,29,2300,32.25,-95.75,37,41.8
2016,5,7,200,40,-104.5,15,14.2
2016,5,9,0,39,-99.5,15,14.2
2016,5,9,2200,34.5,-97.25,21,14.2
2016,5,9,2200,34.75,-97,21,14.3
2016,5,10,2000,36.75,-88.75,40,30.6
2016,5,12,200,38,-90.25,13,7.1
2016,5,17,200,35.75,-100.75,19,15.2
2016,5,17,1900,32,-81,4,1.2
2016,5,22,2300,34.5,-100.75,15,10.6
2016,5,25,0,37.75,-99.5,30,25
2016,6,23,200,41,-89,18,17.8
2017,1,22,2100,32.25,-83.75,72,112.6
2017,4,2,2200,31.5,-92.25,20,22.1
2017,5,16,2300,35.25,-99.5,32,28.8
2017,5,17,0,37.75,-99.25,42,43
2017,6,28,2100,40.75,-94.75,31,28.5
2017,11,5,1700,40.25,-85.5,66,62
2018,3,20,300,33.75,-85.75,51,56.3
2018,6,29,400,45.5,-103.5,24,16
2018,7,19,2200,41.5,-93,23,14.8
2018,12,1,2200,39.75,-89.25,24,20.1
2019,5,18,300,37.75,-99.5,45,47.4
2020,4,12,2100,31.75,-89.75,91,134
2020,4,23,0,31,-93.75,51,58.2
2020,5,23,1700,41.75,-90.25,19,11.2
2021,3,12,2300,33.75,-101.5,5,2.2
2021,3,13,2300,35,-101,45,34.2
2021,3,16,2300,31.75,-90.5,3,2.2
2021,3,17,2100,32.25,-87.5,56,58.6
2021,3,24,2200,31.5,-98.75,2,1.5
2021,3,25,2200,33.25,-86.25,98,128
2021,3,26,200,34,-84.75,53,62
2021,4,27,2100,33.75,-100,16,13.5
2021,5,2,2300,32.75,-90,49,48.2
2021,5,9,2100,35.5,-89.75,11,7.7
2021,5,15,0,45.25,-96.25,1,0.5
2021,5,18,0,32,-101.25,36,18.3
2021,5,24,2100,39.5,-101,30,9.5
2021,5,26,2300,40.25,-101.5,20,13.3
2021,5,30,0,37.25,-103.25,5,8
2021,5,31,0,36.25,-102,10,7.4
2021,6,3,2100,39.5,-76.75,4,3.5
2021,6,8,2200,38.5,-87.25,6,4
2021,6,12,2200,35.75,-105.25,12,7.5
2021,7,11,100,36.75,-90,11,9.3
2021,7,14,2300,42.5,-92.5,27,20.7
2021,7,18,2200,42,-72.25,7,3.1
2021,7,26,2100,47.75,-95,13,13.7
2021,8,7,2200,43.75,-90.75,27,15.1
2021,8,11,1900,43.75,-90.5,14,9.5
2021,8,17,2000,33.75,-81.5,26,23
2021,8,18,2200,40.5,-77.25,6,8.9
2021,8,21,2300,34.75,-88,8,5.6
2021,9,1,2200,39.5,-75.25,20,19.8
2021,10,7,0,36,-84.75,4,1.6
2021,10,27,1400,29.75,-93.75,14,11.1
2021,12,11,100,38.5,-91.25,26,39.9
2021,12,11,200,36,-89.75,89,130.6
2021,12,11,200,39.5,-89.25,43,66.9
2021,12,11,400,36.75,-88.75,178,266.5
2021,12,11,600,36.5,-87.5,124,197.8
2021,12,15,2100,42,-96.75,10,17.9
2021,12,15,2300,43,-93,16,35.5
2021,12,30,2000,32.75,-83,22,19.1
2022,1,1,2300,35,-86.5,21,26.8
2022,3,6,2200,35.25,-93.5,21,25.1
2022,3,9,1400,32.25,-84.25,17,14.7
2022,3,15,0,32.75,-96.5,7,5.3
2022,3,18,2300,38.5,-86.25,8,8.9
2022,3,21,2000,33,-97.75,45,55.2
2022,3,24,100,34.75,-83,11,10.1
2022,4,5,2200,32.25,-81,50,55.5
2022,4,12,100,34.75,-92.25,11,12.6
2022,5,1,2300,31,-102.75,12,7.3
2022,5,5,400,34.25,-99,58,37.2
2022,5,7,0,36.25,-80,18,12.7
2022,5,20,2000,45,-84.75,22,28.2
2022,5,26,2300,35.25,-81.25,7,9.6
2022,6,1,400,34.25,-98.75,6,7.6
2022,6,10,500,39.25,-100,2,2.2
2022,6,11,2200,40,-96.75,11,18.1
2022,6,13,300,44,-101,10,6.3
2022,6,15,2100,43.5,-90.5,37,36.8
2022,7,12,100,43,-84.75,9,12
2022,7,17,2100,39.25,-83,17,9.6
2022,8,1,200,43.75,-93.5,1,0.7
2022,8,1,1600,43.25,-84,7,3.8
2022,8,20,1800,41,-91,10,4.6
2022,9,20,100,42.5,-77.5,5,3
2022,9,26,0,42,-74.75,3,3.7
2022,9,27,2200,25.75,-80.25,18,11.2
2022,9,27,2300,25.75,-80.25,8,12
2022,9,28,1800,28.25,-80.75,14,4.8
2022,10,29,2200,30.5,-88,10,7.9
2022,11,4,2100,33.75,-95.5,56,72
2022,11,4,2300,33.5,-94.75,66,96.9
2022,11,30,900,31.5,-88.25,29,32.2
2022,12,14,1700,32,-89.25,46,40.7
2023,1,3,2100,32,-85.5,17,14.6
2023,3,25,100,33.25,-91,71,95.6
2023,3,27,900,32.5,-86,30,34.9
2023,3,31,2000,34.75,-92,40,55
2023,3,31,2000,41.25,-92.25,27,31.8
2023,3,31,2100,35.5,-89.5,84,117
2023,3,31,2300,35.75,-89.25,41,63.6
2023,4,1,200,38.75,-88,35,65.4
2023,4,1,300,35.25,-88.5,93,138.2
2023,4,1,400,39.25,-86.75,8,9.4
2023,4,1,2300,38.75,-75.75,20,22.9
2023,4,5,200,40.5,-90,27,33.4
2023,4,20,200,35,-97,37,24.8
2023,5,12,100,35.25,-97.5,30,15.1
2023,5,12,2000,41.75,-98.5,17,22.1
2023,6,1,2000,45.5,-97,1,0
2023,6,11,2200,36.25,-85,19,18
2023,6,14,2000,31.25,-84.5,37,30.8
2023,6,19,0,33.5,-92.25,27,16.6
2023,6,22,100,40,-103.5,6,8
2023,6,23,2300,37.5,-102.25,42,21.1
2023,6,25,1900,39.25,-86.75,12,14.7
2023,6,27,100,41.25,-104.25,8,6.4
2023,6,29,300,40.5,-102.75,10,10.9
2023,7,2,1900,40.5,-77.5,8,3.9
2023,7,13,0,41.75,-88,18,17.7
2023,8,4,2200,39.25,-93.75,14,7.3
2023,10,12,2100,40.25,-98.75,10,10.1
2024,1,15,2100,27.25,-80.25,25,13.2
2024,1,27,2300,34,-81.75,4,2.6
2024,2,2,2200,33,-100,4,3.7
2024,2,9,0,42.5,-89.25,38,41.7
2024,2,9,2100,34.5,-93.25,4,4
2024,3,1,2200,37,-120.25,5,0.7
2024,3,14,1800,38.75,-85.5,26,28.9
2024,3,15,0,40.25,-84,47,51
2024,4,2,0,36,-97.25,10,11
2024,4,3,2200,37.75,-76.5,6,9.3
2024,4,8,0,38.5,-89.25,2,2
2024,4,16,2100,40.75,-91.25,56,67.1
2024,4,26,1700,41.5,-98.25,23,13.9
2024,4,26,2200,41.5,-95.5,64,65.4
2024,5,1,300,34.25,-98.75,10,10.3
2024,5,1,2300,34.25,-101,15,2.9
2024,5,7,200,36.25,-96.25,55,65.7
2024,5,7,2000,42.25,-85.5,22,17.6
2024,5,8,500,34.25,-93.25,26,19.6
2024,5,8,2200,35.5,-87,30,18.6
2024,5,9,500,34.5,-86,27,19.9
2024,5,11,2300,40.25,-79.5,13,9.4
2024,5,15,0,34.25,-78.75,15,9.8
2024,5,19,2000,40.5,-103,11,2.5
2024,5,20,0,35.5,-99.5,16,10.8
2024,5,20,200,35.75,-97.75,16,5.6
2024,5,20,2300,44,-93,3,2.2
2024,5,22,2200,31.5,-98.5,5,4.5
2024,5,22,2300,31,-97.5,5,4.5
2024,5,23,2200,31.25,-97,23,29.8
2024,5,26,400,33.75,-98,96,76.1
2024,5,26,400,36,-96,40,38.5
2024,5,26,500,36.5,-94.5,22,12.7
2024,5,26,800,36,-92.75,52,55.7
2024,5,27,200,37,-87.75,74,54.9
2024,5,27,200,37.25,-87,51,64.4
2024,6,12,2300,47,-93.75,19,19.6
2024,6,20,2100,42,-104,5,2.3
